active	amateursportsteams,amusementparks,bikerentals,boating,bowling,cyclingclasses,daycamps,fitness,golf,kids_activities,parks,playgrounds,recreation,football,sports_clubs,summer_camps,swimmingpools,tennis
arts	arcades,galleries,casinos,movietheaters,countryclubs,culturalcenter,festivals,jazzandblues,museums,musicvenues,paintandsip,theater,sportsteams,psychic_astrology,social_clubs,stadiumsarenas,ticketsales,wineries
beautysvc	barbers,cosmetics,spas,eyelashservice,hair_extensions,hairloss,hairremoval,hair,makeupartists,massage,medicalspa,othersalons,permanentmakeup,piercing,skincare,tanning,tattoo,teethwhitening
education	adultedu,artclasses,collegecounseling,collegeuniv,educationservices,elementaryschools,highschools,montessori,preschools,privatetutors,religiousschools,specialed,specialtyschools,tastingclasses,testprep,tutoring
eventservices	boatcharters,stationery,catering,djs,hotels,magicians,musicians,officiants,eventplanning,partybusrentals,partyequipmentrentals,partysupplies,personalchefs,photoboothrentals,photographers,venues,videographers,wedding_planning
financialservices	banks,businessfinancing,paydayloans,currencyexchange,debtrelief,financialadvising,insurance,investing,taxservices,titleloans
food	bagels,bakeries,beer_and_wine,bubbletea,butcher,coffee,convenience,cupcakes,desserts,donuts,farmersmarket,fooddeliveryservices,foodtrucks,grocery,icecream,juicebars,gourmet,streetvendors
health	acupuncture,chiropractors,c_and_mh,dentists,diagnosticservices,physicians,homehealthcare,hospitals,massage_therapy,medcenters,medicalspa,nutritionists,optometrists,physicaltherapy,rehabilitation_center,tcm,urgent_care,weightlosscenters
homeservices	buildingsupplies,carpeting,contractors,electricians,flooring,hvac,homecleaning,home_inspectors,interiordesign,locksmiths,landscaping,lighting,movers,painters,plumbing,realestate,roofing,securitysystems
hotelstravel	airports,bedbreakfast,campgrounds,carrental,guesthouses,healthretreats,hostels,hotels,motorcycle_rental,rvrental,resorts,skiresorts,tours,trainstations,transport,travelservices,vacationrentalagents,vacation_rentals
localservices	homeappliancerepair,carpet_cleaning,childcare,nonprofit,couriers,drycleaninglaundry,electronicsrepair,funeralservices,reupholstery,itservices,notaries,pest_control,copyshops,recording_studios,selfstorage,sewingalterations,shipping_centers,shoerepair
massmedia	printmedia,radiostations,televisionstations
professional	accountants,advertising,architects,businessconsulting,careercounseling,employmentagencies,graphicdesign,isps,lawyers,legalservices,lifecoach,marketing,officecleaning,payroll,signmaking,softwaredevelopment,videofilmproductions,web_design
publicservicesgovt	communitycenters,courthouses,departmentsofmotorvehicles,embassy,firedepartments,landmarks,libraries,policedepartments,postoffices
realestate	apartments,artspacerentals,commercialrealestate,estateliquidation,homestaging,homeownerassociation,housingcooperatives,kitchenincubators,mobilehomes,mobileparks,mortgagebrokers,propertymgmt,realestateagents,realestatesvcs,sharedofficespaces,university_housing
religiousorgs	buddhist_temples,churches,hindu_temples,mosques,synagogues
restaurants
shopping	antiques,galleries,artsandcrafts,media,cosmetics,deptstores,drugstores,electronics,opticians,fashion,flowers,homeandgarden,jewelry,mobilephones,musicalinstrumentsandteachers,photographystores,sportgoods,tobaccoshops
